user_id,date,description,category,type,amount,month,category_id
2,2024-10-17,Top up e-toll,Transportation,expense,261207.56,2024-10,2
2,2024-10-29,Cashback kartu kredit,Other Income,income,444377.5,2024-10,11
2,2024-10-26,Zakat penghasilan,Gift & Donation,expense,287148.33,2024-10,10
2,2024-10-25,Zakat penghasilan,Gift & Donation,expense,424352.83,2024-10,10
2,2024-10-01,Bonus kerja akhir tahun,Salary,income,231725.6,2024-10,8
2,2024-10-27,Donasi ke masjid,Gift & Donation,expense,73153.54,2024-10,10
2,2024-10-29,Bayar parkir mall,Transportation,expense,25514.64,2024-10,2
2,2024-10-07,Bunga deposito,Other Income,income,346106.69,2024-10,11
2,2024-10-30,Bayar uang kuliah,Education,expense,186875.77,2024-10,7
2,2024-10-17,Perawatan gigi di klinik,Health & Medical,expense,499834.94,2024-10,6
2,2024-10-03,Cashback kartu kredit,Other Income,income,367093.75,2024-10,11
2,2024-10-15,Pendapatan jasa freelance,Business,income,160218.5,2024-10,9
2,2024-10-28,Belanja di minimarket,Shopping,expense,168319.38,2024-10,3
2,2024-10-14,Biaya parkir,Other Expense,expense,194500.27,2024-10,12
2,2024-10-18,Bayar parkir mall,Transportation,expense,447664.99,2024-10,2
2,2024-10-26,Gaji bulanan Oktober,Salary,income,224212.79,2024-10,8
2,2024-10-17,Hadiah ulang tahun keluarga,Gift & Donation,expense,211111.24,2024-10,10
2,2024-10-16,Main game online,Entertainment,expense,290720.06,2024-10,5
2,2024-10-19,Pendapatan jasa freelance,Business,income,406483.11,2024-10,9
2,2024-10-31,Bayar air PDAM,Bills & Utilities,expense,412703.46,2024-10,4
2,2024-10-04,Potongan saldo e-wallet,Other Expense,expense,445675.84,2024-10,12
2,2024-10-05,Potongan saldo e-wallet,Other Expense,expense,226116.57,2024-10,12
2,2024-10-04,Gaji bulanan Oktober,Salary,income,427821.81,2024-10,8
2,2024-10-16,Refund pembelian,Other Income,income,239262.25,2024-10,11
2,2024-10-13,Potongan saldo e-wallet,Other Expense,expense,140483.11,2024-10,12
2,2024-10-21,Bunga deposito,Other Income,income,283111.3,2024-10,11
2,2024-10-29,Pendapatan jasa freelance,Business,income,249868.59,2024-10,9
2,2024-10-27,Beli alat tulis kantor,Education,expense,117215.04,2024-10,7
2,2024-10-21,Langganan Disney+,Entertainment,expense,35892.45,2024-10,5
2,2024-10-30,Hadiah ulang tahun keluarga,Gift & Donation,expense,405702.53,2024-10,10
2,2024-10-09,Gaji bulan Desember,Salary,income,462324.67,2024-10,8
2,2024-10-25,Biaya parkir,Other Expense,expense,243994.93,2024-10,12
2,2024-10-30,Gaji bulan Desember,Salary,income,287762.24,2024-10,8
2,2024-10-30,Makan malam di restoran sunda,Food & Dining,expense,171995.41,2024-10,1
2,2024-10-26,Bayar parkir mall,Transportation,expense,350879.9,2024-10,2
2,2024-10-31,Komisi penjualan,Business,income,237401.94,2024-10,9
2,2024-10-16,Beli smartphone baru,Shopping,expense,424371.09,2024-10,3
2,2024-10-12,Top up e-toll,Transportation,expense,453566.57,2024-10,2
2,2024-10-14,Isi bensin mobil,Transportation,expense,378824.63,2024-10,2
2,2024-10-03,Beli smartphone baru,Shopping,expense,459910.73,2024-10,3
2,2024-10-30,Beli roti di bakery,Food & Dining,expense,298707.2,2024-10,1
2,2024-10-08,Naik TransJakarta,Transportation,expense,401009.89,2024-10,2
2,2024-10-18,Naik TransJakarta,Transportation,expense,41436.36,2024-10,2
2,2024-10-11,Beli tiket konser musik,Entertainment,expense,94285.23,2024-10,5
2,2024-10-30,Refund pembelian,Other Income,income,295656.12,2024-10,11
2,2024-10-05,Bonus kerja akhir tahun,Salary,income,365826.86,2024-10,8
2,2024-10-05,Pendapatan toko online,Business,income,247032.09,2024-10,9
2,2024-10-03,Zakat penghasilan,Gift & Donation,expense,262266.27,2024-10,10
2,2024-10-26,Kursus online desain,Education,expense,468826.84,2024-10,7
2,2024-10-13,Hadiah ulang tahun keluarga,Gift & Donation,expense,263696.91,2024-10,10
2,2024-10-13,Belanja di minimarket,Shopping,expense,407315.73,2024-10,3
2,2024-10-03,Beli ayam geprek,Food & Dining,expense,206887.03,2024-10,1
2,2024-10-30,Makan malam di restoran sunda,Food & Dining,expense,330210.77,2024-10,1
2,2024-10-11,Beli ayam geprek,Food & Dining,expense,264986.16,2024-10,1
2,2024-10-30,Bunga deposito,Other Income,income,236067.38,2024-10,11
2,2024-10-19,Bayar parkir mall,Transportation,expense,475415.44,2024-10,2
2,2024-10-17,Donasi ke masjid,Gift & Donation,expense,93867.48,2024-10,10
2,2024-10-15,Isi pulsa,Bills & Utilities,expense,319204.67,2024-10,4
2,2024-10-03,Donasi ke masjid,Gift & Donation,expense,345679.19,2024-10,10
2,2024-10-21,Komisi penjualan,Business,income,36393.29,2024-10,9
2,2024-10-30,Beli pakaian di H&M,Shopping,expense,331150.78,2024-10,3
2,2024-10-21,Beli roti di bakery,Food & Dining,expense,436685.73,2024-10,1
2,2024-10-29,Isi pulsa,Bills & Utilities,expense,361253.84,2024-10,4
2,2024-10-07,Ngopi di Janji Jiwa,Food & Dining,expense,329913.11,2024-10,1
2,2024-10-28,Pendapatan toko online,Business,income,96987.53,2024-10,9
2,2024-10-18,Beli smartphone baru,Shopping,expense,150947.31,2024-10,3
2,2024-10-06,Beli buku kuliah,Education,expense,203928.97,2024-10,7
2,2024-10-16,Konsultasi dokter,Health & Medical,expense,146452.97,2024-10,6
2,2024-10-11,Bayar uang kuliah,Education,expense,244496.18,2024-10,7
2,2024-10-17,Komisi penjualan,Business,income,233399.79,2024-10,9
2,2024-10-28,Komisi penjualan,Business,income,411753.12,2024-10,9
2,2024-10-03,Bayar air PDAM,Bills & Utilities,expense,22354.8,2024-10,4
2,2024-10-18,Bonus kerja akhir tahun,Salary,income,178612.23,2024-10,8
2,2024-10-12,Cashback kartu kredit,Other Income,income,481375.34,2024-10,11
2,2024-10-19,Beli perlengkapan rumah,Shopping,expense,289761.22,2024-10,3
2,2024-10-23,Pendapatan toko online,Business,income,72652.88,2024-10,9
2,2024-10-24,Langganan Apple Music,Entertainment,expense,380598.2,2024-10,5
2,2024-10-09,Bayar pascabayar XL,Bills & Utilities,expense,161456.06,2024-10,4
2,2024-10-26,Refund pembelian,Other Income,income,83656.72,2024-10,11
2,2024-10-06,Langganan Disney+,Entertainment,expense,478340.32,2024-10,5
2,2024-10-24,Naik Gojek ke kantor,Transportation,expense,384374.11,2024-10,2
2,2024-10-09,Beli pakaian di H&M,Shopping,expense,263180.81,2024-10,3
2,2024-10-11,Donasi ke masjid,Gift & Donation,expense,159697.35,2024-10,10
2,2024-10-01,Beli perlengkapan rumah,Shopping,expense,142939.56,2024-10,3
2,2024-10-01,Bayar uang kuliah,Education,expense,218973.56,2024-10,7
2,2024-10-10,Beli ayam geprek,Food & Dining,expense,132908.18,2024-10,1
2,2024-10-19,Naik Gojek ke kantor,Transportation,expense,349196.73,2024-10,2
2,2024-10-20,Beli suplemen,Health & Medical,expense,394283.25,2024-10,6
2,2024-10-02,Refund pembelian,Other Income,income,362823.82,2024-10,11
2,2024-10-20,Bayar uang kuliah,Education,expense,311737.11,2024-10,7
2,2024-10-29,Gaji bulan Desember,Salary,income,489973.82,2024-10,8
2,2024-10-22,Top up e-toll,Transportation,expense,433424.37,2024-10,2
2,2024-10-27,Main game online,Entertainment,expense,160103.07,2024-10,5
2,2024-10-14,Beli obat di Kimia Farma,Health & Medical,expense,372985.72,2024-10,6
2,2024-10-10,Makan malam di restoran sunda,Food & Dining,expense,353744.3,2024-10,1
2,2024-10-14,Biaya admin bank,Other Expense,expense,162532.17,2024-10,12
2,2024-10-11,Beli obat di Kimia Farma,Health & Medical,expense,280235.28,2024-10,6
2,2024-10-04,Bayar pascabayar XL,Bills & Utilities,expense,46949.67,2024-10,4
2,2024-10-02,Belanja di minimarket,Shopping,expense,78888.9,2024-10,3
2,2024-10-21,Belanja di minimarket,Shopping,expense,189939.51,2024-10,3
2,2024-10-19,Bunga deposito,Other Income,income,33821.2,2024-10,11
2,2024-10-13,Beli perlengkapan rumah,Shopping,expense,219343.09,2024-10,3
2,2024-10-25,Isi pulsa,Bills & Utilities,expense,338044.65,2024-10,4
2,2024-10-22,Belanja di Shopee,Shopping,expense,280604.99,2024-10,3
2,2024-10-13,Potongan saldo e-wallet,Other Expense,expense,348201.03,2024-10,12
2,2024-10-01,Nonton bioskop XXI,Entertainment,expense,129562.78,2024-10,5
2,2024-10-09,Langganan Apple Music,Entertainment,expense,249844.78,2024-10,5
2,2024-10-19,Konsultasi dokter,Health & Medical,expense,473229.36,2024-10,6
2,2024-10-21,Isi bensin mobil,Transportation,expense,285431.41,2024-10,2
2,2024-10-17,Komisi penjualan,Business,income,183542.25,2024-10,9
2,2024-10-27,Biaya parkir,Other Expense,expense,47002.76,2024-10,12
2,2024-10-16,Pesan GrabFood sate ayam,Food & Dining,expense,489501.76,2024-10,1
2,2024-10-28,Ngopi di Janji Jiwa,Food & Dining,expense,345988.73,2024-10,1
2,2024-10-12,Beli smartphone baru,Shopping,expense,359489.4,2024-10,3
2,2024-10-11,Bayar pascabayar XL,Bills & Utilities,expense,417945.09,2024-10,4
2,2024-10-21,Langganan internet Biznet,Bills & Utilities,expense,192372.27,2024-10,4
2,2024-10-29,Bonus kerja akhir tahun,Salary,income,409490.01,2024-10,8
2,2024-10-06,Refund pembelian,Other Income,income,169852.95,2024-10,11
2,2024-10-29,Bunga deposito,Other Income,income,93814.23,2024-10,11
2,2024-10-27,Makan malam di restoran sunda,Food & Dining,expense,410601.96,2024-10,1
2,2024-10-02,Pendapatan jasa freelance,Business,income,215996.9,2024-10,9
2,2024-10-12,Cashback kartu kredit,Other Income,income,60419.51,2024-10,11
2,2024-10-23,Pendapatan jasa freelance,Business,income,147207.14,2024-10,9
2,2024-10-01,Biaya admin bank,Other Expense,expense,499429.43,2024-10,12
2,2024-10-23,Pendapatan toko online,Business,income,427909.56,2024-10,9
2,2024-10-31,Hadiah ulang tahun keluarga,Gift & Donation,expense,294862.08,2024-10,10
2,2024-10-17,Beli alat tulis kantor,Education,expense,278710.86,2024-10,7
2,2024-10-17,Refund pembelian,Other Income,income,95861.09,2024-10,11
2,2024-10-13,Naik Gojek ke kantor,Transportation,expense,88108.32,2024-10,2
2,2024-10-24,Beli suplemen,Health & Medical,expense,169001.49,2024-10,6
2,2024-10-06,Zakat penghasilan,Gift & Donation,expense,397877.04,2024-10,10
2,2024-10-12,Beli tiket konser musik,Entertainment,expense,279759.35,2024-10,5
2,2024-10-24,Beli smartphone baru,Shopping,expense,110574.63,2024-10,3
2,2024-10-21,Cashback kartu kredit,Other Income,income,426708.34,2024-10,11
2,2024-10-25,Gaji bulan Desember,Salary,income,190715.9,2024-10,8
2,2024-10-01,Pendapatan toko online,Business,income,366550.49,2024-10,9
2,2024-10-06,Beli perlengkapan rumah,Shopping,expense,278766.28,2024-10,3
2,2024-10-29,Beli ayam geprek,Food & Dining,expense,267196.26,2024-10,1
2,2024-10-27,Potongan saldo e-wallet,Other Expense,expense,388070.42,2024-10,12
2,2024-10-07,Beli obat di Kimia Farma,Health & Medical,expense,196638.33,2024-10,6
2,2024-10-08,Pendapatan toko online,Business,income,307758.28,2024-10,9
2,2024-10-16,Beli pakaian di H&M,Shopping,expense,492815.95,2024-10,3
2,2024-10-20,Naik Gojek ke kantor,Transportation,expense,202975.31,2024-10,2
2,2024-10-30,Langganan Disney+,Entertainment,expense,186943.55,2024-10,5
2,2024-10-08,Gaji bulanan Oktober,Salary,income,286684.62,2024-10,8
2,2024-10-12,Perawatan gigi di klinik,Health & Medical,expense,460490.37,2024-10,6
2,2024-10-03,Naik Gojek ke kantor,Transportation,expense,393942.14,2024-10,2
2,2024-10-22,Gaji bulan Desember,Salary,income,147345.92,2024-10,8
2,2024-10-17,Bayar air PDAM,Bills & Utilities,expense,176000.97,2024-10,4
2,2024-10-29,Komisi penjualan,Business,income,174892.94,2024-10,9
2,2024-10-13,Potongan saldo e-wallet,Other Expense,expense,431480.64,2024-10,12
2,2024-10-15,Konsultasi dokter,Health & Medical,expense,114313.13,2024-10,6
2,2024-10-12,Langganan internet Biznet,Bills & Utilities,expense,384236.14,2024-10,4
2,2024-10-15,Beli alat tulis kantor,Education,expense,122180.26,2024-10,7
2,2024-10-05,Potongan saldo e-wallet,Other Expense,expense,335283.83,2024-10,12
2,2024-10-04,Bayar uang kuliah,Education,expense,177907.28,2024-10,7
2,2024-10-15,Beli suplemen,Health & Medical,expense,423766.45,2024-10,6
2,2024-10-09,Nonton bioskop XXI,Entertainment,expense,281656.13,2024-10,5
2,2024-10-18,Langganan internet Biznet,Bills & Utilities,expense,486679.78,2024-10,4
2,2024-10-15,Top up e-toll,Transportation,expense,160865.31,2024-10,2
2,2024-10-18,Bunga deposito,Other Income,income,211736.15,2024-10,11
2,2024-10-11,Biaya parkir,Other Expense,expense,343576.11,2024-10,12
2,2024-10-28,Bayar parkir mall,Transportation,expense,456100.05,2024-10,2
2,2024-10-17,Refund pembelian,Other Income,income,386897.41,2024-10,11
2,2024-10-11,Isi pulsa,Bills & Utilities,expense,189037.01,2024-10,4
2,2024-10-01,Beli roti di bakery,Food & Dining,expense,367729.32,2024-10,1
2,2024-10-05,Langganan Apple Music,Entertainment,expense,356812.14,2024-10,5
2,2024-10-26,Perawatan gigi di klinik,Health & Medical,expense,419802.51,2024-10,6
2,2024-10-02,Gaji bulan Desember,Salary,income,182598.34,2024-10,8
2,2024-10-31,Bayar tagihan listrik,Bills & Utilities,expense,337124.74,2024-10,4
2,2024-10-07,Beli tiket konser musik,Entertainment,expense,28538.27,2024-10,5
2,2024-10-21,Bonus kerja akhir tahun,Salary,income,152916.53,2024-10,8
2,2024-10-07,Beli obat di Kimia Farma,Health & Medical,expense,286767.23,2024-10,6
2,2024-10-05,Pendapatan toko online,Business,income,491641.46,2024-10,9
2,2024-10-07,Konsultasi dokter,Health & Medical,expense,472682.77,2024-10,6
2,2024-10-10,Zakat penghasilan,Gift & Donation,expense,101973.27,2024-10,10
2,2024-10-17,Naik TransJakarta,Transportation,expense,220178.75,2024-10,2
2,2024-10-04,Refund pembelian,Other Income,income,288395.57,2024-10,11
2,2024-10-02,Makan malam di restoran sunda,Food & Dining,expense,470734.01,2024-10,1
2,2024-10-08,Belanja di minimarket,Shopping,expense,372440.31,2024-10,3
2,2024-10-11,Bonus kerja akhir tahun,Salary,income,338264.65,2024-10,8
2,2024-10-09,Beli suplemen,Health & Medical,expense,311171.03,2024-10,6
2,2024-10-02,Gaji bulan Desember,Salary,income,422701.15,2024-10,8
2,2024-10-16,Bunga deposito,Other Income,income,83952.47,2024-10,11
2,2024-10-15,Beli suplemen,Health & Medical,expense,421528.28,2024-10,6
2,2024-10-27,Langganan internet Biznet,Bills & Utilities,expense,151344.7,2024-10,4
2,2024-10-19,Biaya parkir,Other Expense,expense,165952.44,2024-10,12
2,2024-10-24,Beli roti di bakery,Food & Dining,expense,434208.14,2024-10,1
2,2024-10-22,Potongan saldo e-wallet,Other Expense,expense,337356.66,2024-10,12
2,2024-10-20,Komisi penjualan,Business,income,490895.53,2024-10,9
2,2024-10-20,Naik TransJakarta,Transportation,expense,487737.78,2024-10,2
2,2024-10-11,Perawatan gigi di klinik,Health & Medical,expense,172609.05,2024-10,6
2,2024-10-18,Konsultasi dokter,Health & Medical,expense,57472.62,2024-10,6
