date,description,category,type,amount
2024-11-03,Cashback e-wallet,Other Income,income,398786
2025-02-13,Cek kesehatan di RS Hermina,Health & Medical,expense,342632
2025-10-03,Biaya administrasi bank,Other Expense,expense,398323
2025-08-20,Pendapatan toko online,Business,income,7578673
2024-12-08,Makan siang di warung padang,Food & Dining,expense,134629
2025-08-26,Nonton konser musik,Entertainment,expense,47824
2025-09-19,Pembayaran dari klien,Business,income,9642600
2025-06-08,Bayar air PDAM,Bills & Utilities,expense,1335779
2025-01-11,Beli obat di apotek,Health & Medical,expense,1514104
2025-03-13,Langganan internet Indihome,Bills & Utilities,expense,426064
2024-12-13,Langganan Spotify,Entertainment,expense,117251
2025-04-23,Bayar tagihan listrik PLN,Bills & Utilities,expense,1877324
2025-03-06,Bayar uang sekolah anak,Education,expense,464488
2025-07-23,Biaya transfer antar bank,Other Expense,expense,75444
2025-07-31,Bayar tagihan listrik PLN,Bills & Utilities,expense,714839
2025-04-25,Pendapatan tambahan,Other Income,income,312698
2024-11-14,Langganan Netflix,Entertainment,expense,713384
2024-12-01,Langganan Spotify,Entertainment,expense,916865
2025-05-04,Langganan Netflix,Entertainment,expense,311476
2025-01-13,Tunjangan transportasi,Salary,income,11210606
2025-09-30,Beli buku pelajaran,Education,expense,2339572
2025-08-29,Biaya administrasi bank,Other Expense,expense,342911
2025-02-24,Belanja bulanan di Superindo,Shopping,expense,1420719
2025-03-09,Pendapatan proyek freelance,Salary,income,15737414
2025-02-11,Potongan layanan e-wallet,Other Expense,expense,368935
2025-02-16,Bayar kursus online,Education,expense,369276
2025-03-08,Langganan platform e-learning,Education,expense,655230
2025-04-01,Nonton konser musik,Entertainment,expense,242955
2025-05-12,Refund pembelian,Other Income,income,473828
2025-01-03,Refund pembelian,Other Income,income,148873
2025-08-05,Beli sepatu di Tokopedia,Shopping,expense,4571269
2025-05-29,Konsultasi dokter umum,Health & Medical,expense,1932871
2025-04-25,Beli bunga untuk keluarga,Gift & Donation,expense,239974
2025-07-01,Belanja bulanan di Superindo,Shopping,expense,812603
2025-01-08,Makan siang di warung padang,Food & Dining,expense,103876
2025-08-23,Refund pembelian,Other Income,income,43306
2025-08-23,Top up pulsa Telkomsel,Bills & Utilities,expense,1081571
2025-08-01,Hasil penjualan produk,Business,income,692619
2025-10-06,Cashback e-wallet,Other Income,income,473883
2025-09-15,Hasil penjualan produk,Business,income,6207197
2025-06-01,Parkir di Mall,Transportation,expense,51460
2025-03-05,Gaji bulanan PT Astra,Salary,income,13398441
2024-12-15,Belanja bulanan di Superindo,Shopping,expense,2553536
2025-08-29,Pendapatan tambahan,Other Income,income,114286
2025-01-12,Pesan gadget di Shopee,Shopping,expense,4574639
2025-08-24,Pendapatan toko online,Business,income,5938436
2024-12-18,Gaji bulanan PT Astra,Salary,income,11089806
2024-11-20,Cek kesehatan di RS Hermina,Health & Medical,expense,555144
2024-12-04,Sumbangan ke panti asuhan,Gift & Donation,expense,777460
2025-07-21,Gaji bulanan PT Astra,Salary,income,17848569
2025-09-24,Beli sepatu di Tokopedia,Shopping,expense,4036957
2025-03-06,Pembayaran dari klien,Business,income,9352897
2025-02-07,Beli bunga untuk keluarga,Gift & Donation,expense,984036
2025-10-22,Pembayaran dari klien,Business,income,5729731
2025-06-03,Langganan internet Indihome,Bills & Utilities,expense,1986627
2024-12-22,Komisi reseller,Business,income,4659166
2025-04-13,Langganan Netflix,Entertainment,expense,42056
2025-02-16,Zakat bulanan,Gift & Donation,expense,627024
2024-11-27,Langganan Netflix,Entertainment,expense,762225
2025-02-16,Cashback e-wallet,Other Income,income,45337
2024-11-27,Kopi di Starbucks,Food & Dining,expense,289565
2025-09-29,Langganan Spotify,Entertainment,expense,528993
2024-12-28,Nonton konser musik,Entertainment,expense,778490
2025-06-21,Zakat bulanan,Gift & Donation,expense,264801
2025-01-27,Pendapatan proyek freelance,Salary,income,6582524
2025-04-21,Bayar tol,Transportation,expense,121038
2024-11-18,Top up pulsa Telkomsel,Bills & Utilities,expense,1512147
2024-11-22,Cashback e-wallet,Other Income,income,221089
2024-12-16,Denda keterlambatan,Other Expense,expense,140367
2025-07-23,Beli tiket bioskop XXI,Entertainment,expense,490405
2025-01-23,Beli jam tangan Casio,Shopping,expense,2386606
2024-11-29,Bonus tahunan,Salary,income,12434500
2024-11-16,Pendapatan toko online,Business,income,9569560
2025-02-20,Makan siang di warung padang,Food & Dining,expense,107194
2025-06-25,Top up pulsa Telkomsel,Bills & Utilities,expense,548260
2025-01-14,Bayar tagihan listrik PLN,Bills & Utilities,expense,894764
2025-03-06,Dinner di restoran Jepang,Food & Dining,expense,258555
2025-10-13,Beli vitamin di Guardian,Health & Medical,expense,1581980
2025-01-09,Komisi reseller,Business,income,3685957
2024-11-20,Cek kesehatan di RS Hermina,Health & Medical,expense,1264629
2024-11-22,Potongan layanan e-wallet,Other Expense,expense,402154
2024-11-16,Bayar kursus online,Education,expense,4099591
2025-01-10,Pemasukan usaha kecil,Business,income,1454280
2025-01-25,Pendapatan toko online,Business,income,1649597
2025-10-02,Sumbangan ke panti asuhan,Gift & Donation,expense,913682
2024-12-22,Beli game di Steam,Entertainment,expense,953533
2025-08-14,Hadiah ulang tahun untuk teman,Gift & Donation,expense,633398
2024-12-02,Beli makanan di Indomaret,Food & Dining,expense,239794
2025-08-07,Pendapatan tambahan,Other Income,income,284088
2025-02-03,Les bahasa Inggris,Education,expense,2735565
2025-05-12,Langganan Spotify,Entertainment,expense,157235
2025-06-13,Penjualan barang bekas,Other Income,income,175767
2025-06-13,Naik Gojek ke kantor,Transportation,expense,172833
2024-11-28,Sumbangan ke panti asuhan,Gift & Donation,expense,573750
2025-03-06,Nonton konser musik,Entertainment,expense,158890
2025-02-24,Bayar kursus online,Education,expense,3199817
2025-06-03,Cek kesehatan di RS Hermina,Health & Medical,expense,1798489
2025-08-31,Hasil penjualan produk,Business,income,9374152
2025-03-24,Beli makanan di Indomaret,Food & Dining,expense,74309
2024-12-20,Pesan gadget di Shopee,Shopping,expense,947882
2025-01-09,Potongan layanan e-wallet,Other Expense,expense,152788
2025-02-06,Konsultasi dokter umum,Health & Medical,expense,1554941
2025-10-08,Beli buku pelajaran,Education,expense,2314457
2025-02-27,Komisi reseller,Business,income,1352264
2025-03-12,Bayar tol,Transportation,expense,21557
2024-12-27,Kopi di Starbucks,Food & Dining,expense,157340
2025-07-31,Beli jam tangan Casio,Shopping,expense,3637697
2024-12-18,Pendapatan toko online,Business,income,1762382
2025-07-28,Penarikan tunai ATM,Other Expense,expense,28889
2025-07-31,Bayar uang sekolah anak,Education,expense,1342300
2024-11-12,Bayar air PDAM,Bills & Utilities,expense,746464
2025-04-23,Bayar kursus online,Education,expense,1862249
2025-09-28,Bunga tabungan bank,Other Income,income,63893
2025-05-18,Bayar uang sekolah anak,Education,expense,1396487
2025-01-20,Beli tiket bioskop XXI,Entertainment,expense,944231
2025-01-21,Bayar tagihan listrik PLN,Bills & Utilities,expense,1644687
2025-09-29,Langganan platform e-learning,Education,expense,2181777
2025-10-16,Cek kesehatan di RS Hermina,Health & Medical,expense,276692
2025-06-19,Bayar tagihan listrik PLN,Bills & Utilities,expense,566477
2025-04-19,Beli game di Steam,Entertainment,expense,340015
2024-11-03,Beli tiket bioskop XXI,Entertainment,expense,712094
2025-04-08,Beli game di Steam,Entertainment,expense,312136
2025-04-19,Parkir di Mall,Transportation,expense,178160
2025-10-04,Komisi reseller,Business,income,9496207
2024-12-20,Bayar kursus online,Education,expense,2291231
2025-03-06,Belanja bulanan di Superindo,Shopping,expense,370924
2025-06-01,Tiket KRL Bekasi-Jakarta,Transportation,expense,100619
2025-06-02,Denda keterlambatan,Other Expense,expense,327828
2025-05-07,Pendapatan toko online,Business,income,3688992
2025-10-19,Beli obat di apotek,Health & Medical,expense,964478
2025-07-24,Beli makanan di Indomaret,Food & Dining,expense,123303
2024-11-26,Langganan platform e-learning,Education,expense,2869918
2025-09-26,Donasi ke masjid,Gift & Donation,expense,899208
2025-07-08,Parkir di Mall,Transportation,expense,91077
2025-04-07,Refund pembelian,Other Income,income,220973
2025-08-01,Denda keterlambatan,Other Expense,expense,76735
2025-09-27,Beli game di Steam,Entertainment,expense,417562
2025-09-02,Bunga tabungan bank,Other Income,income,308375
2025-07-29,Beli vitamin di Guardian,Health & Medical,expense,1798448
2025-03-17,Kopi di Starbucks,Food & Dining,expense,130196
2025-08-28,Bayar iuran keamanan,Bills & Utilities,expense,1473017
2025-06-05,Langganan platform e-learning,Education,expense,3809105
2025-07-10,Bunga tabungan bank,Other Income,income,258085
2025-09-24,Penarikan tunai ATM,Other Expense,expense,54457
2025-09-26,Konsultasi dokter umum,Health & Medical,expense,1377373
2024-12-08,Donasi ke masjid,Gift & Donation,expense,868179
2025-02-14,Langganan Spotify,Entertainment,expense,865742
2024-11-03,Beli tiket bioskop XXI,Entertainment,expense,68458
2025-08-30,Beli game di Steam,Entertainment,expense,911014
2025-05-22,Bayar tol,Transportation,expense,242295
2025-01-29,Pendapatan tambahan,Other Income,income,386620
2025-07-02,Biaya transfer antar bank,Other Expense,expense,219533
2025-09-22,Beli tiket bioskop XXI,Entertainment,expense,741024
2025-05-27,Makan siang di warung padang,Food & Dining,expense,134735
2025-06-16,Belanja bulanan di Superindo,Shopping,expense,471262
2024-12-23,Pembayaran dari klien,Business,income,8158158
2025-09-28,Beli jam tangan Casio,Shopping,expense,4505457
2025-04-02,Pemasukan usaha kecil,Business,income,7925149
2025-05-28,Zakat bulanan,Gift & Donation,expense,880914
2025-01-11,Komisi reseller,Business,income,8463715
2025-02-25,Tunjangan transportasi,Salary,income,19090561
2025-07-15,Penjualan barang bekas,Other Income,income,264068
2025-03-11,Bunga tabungan bank,Other Income,income,240619
2025-02-19,Parkir di Mall,Transportation,expense,81228
2025-07-25,Les bahasa Inggris,Education,expense,775934
2025-02-17,Beli sepatu di Tokopedia,Shopping,expense,3263132
2025-10-18,Penarikan tunai ATM,Other Expense,expense,122172
2025-05-18,Bayar tol,Transportation,expense,96738
2025-05-22,Komisi reseller,Business,income,1544645
2025-05-09,Beli game di Steam,Entertainment,expense,968791
2025-08-12,Sumbangan ke panti asuhan,Gift & Donation,expense,408858
2025-04-20,Gaji bulanan PT Astra,Salary,income,10009888
2025-07-24,Top up pulsa Telkomsel,Bills & Utilities,expense,1667653
2025-08-26,Potongan layanan e-wallet,Other Expense,expense,480711
2025-02-11,Beli game di Steam,Entertainment,expense,306193
2024-11-05,Top up pulsa Telkomsel,Bills & Utilities,expense,915492
2025-01-14,Langganan platform e-learning,Education,expense,4020752
2025-07-22,Belanja bulanan di Superindo,Shopping,expense,276210
2025-08-06,Bayar iuran keamanan,Bills & Utilities,expense,1490411
2025-09-16,Makan siang di warung padang,Food & Dining,expense,244716
2025-01-23,Beli jam tangan Casio,Shopping,expense,471818
2025-04-07,Beli vitamin di Guardian,Health & Medical,expense,493883
2025-04-12,Tunjangan transportasi,Salary,income,17771315
2025-05-25,Langganan internet Indihome,Bills & Utilities,expense,629051
2024-10-31,Bayar tol,Transportation,expense,206352
2025-04-19,Pendapatan toko online,Business,income,4261823
2025-09-20,Cashback e-wallet,Other Income,income,31106
2025-02-01,Pesan GoFood,Food & Dining,expense,30684
2025-02-21,Hadiah ulang tahun untuk teman,Gift & Donation,expense,142352
2025-08-06,Gaji bulanan PT Astra,Salary,income,8656838
2025-04-28,Tunjangan transportasi,Salary,income,7815034
2024-12-19,Zakat bulanan,Gift & Donation,expense,825573
2024-12-16,Pesan gadget di Shopee,Shopping,expense,4904359
2025-08-12,Kopi di Starbucks,Food & Dining,expense,216768
2024-11-29,Bayar air PDAM,Bills & Utilities,expense,1341719
2024-12-13,Penarikan tunai ATM,Other Expense,expense,375529
2024-12-22,Konsultasi dokter umum,Health & Medical,expense,1719809
2025-04-17,Sumbangan ke panti asuhan,Gift & Donation,expense,568623
2024-11-26,Langganan internet Indihome,Bills & Utilities,expense,1161076
2024-10-28,Penjualan barang bekas,Other Income,income,455422
2024-12-15,Top up pulsa Telkomsel,Bills & Utilities,expense,1009164
2025-10-19,Langganan platform e-learning,Education,expense,1383382
2025-07-16,Bayar air PDAM,Bills & Utilities,expense,1464108
2025-07-24,Konsultasi dokter umum,Health & Medical,expense,1674540
2025-06-02,Pendapatan proyek freelance,Salary,income,18853527
2025-03-08,Potongan layanan e-wallet,Other Expense,expense,178980
2025-03-13,Langganan Netflix,Entertainment,expense,944457
2025-06-16,Bonus tahunan,Salary,income,14560490
2025-04-12,Beli bunga untuk keluarga,Gift & Donation,expense,40094
2025-01-23,Tunjangan transportasi,Salary,income,13179730
2025-03-03,Langganan Spotify,Entertainment,expense,376871
2025-10-16,Konsultasi dokter umum,Health & Medical,expense,1895718
2024-10-27,Konsultasi dokter umum,Health & Medical,expense,1133445
2025-02-22,Langganan Netflix,Entertainment,expense,775053
