date,description,category,type,amount
2025-02-01,Top up pulsa XL,Bills & Utilities,expense,1357114
2025-02-26,Beli laptop di Tokopedia,Shopping,expense,1167735
2025-05-06,Parkir di kantor,Transportation,expense,149149
2024-12-06,Pendapatan tambahan kecil,Other Income,income,337113
2025-05-25,Bonus proyek akhir tahun,Salary,income,17116935
2025-02-09,Beli bunga untuk ibu,Gift & Donation,expense,841116
2025-10-06,Langganan Skillshare,Education,expense,1883341
2025-09-25,Beli skincare di Watsons,Shopping,expense,1551568
2024-12-03,Donasi ke gereja,Gift & Donation,expense,761493
2025-06-19,Pendapatan toko online,Business,income,5807954
2025-03-08,Bayar tagihan listrik,Bills & Utilities,expense,1270110
2025-02-03,Pesan makanan lewat GrabFood,Food & Dining,expense,210070
2025-06-15,Pendapatan toko online,Business,income,9201586
2025-06-15,Beli game di Steam,Entertainment,expense,73810
2025-02-09,Beli buku pelajaran,Education,expense,1448988
2025-08-22,Potongan layanan e-wallet,Other Expense,expense,494886
2025-09-25,Beli mainan anak di Gramedia,Shopping,expense,1526587
2024-11-02,Sarapan di Warung Nasi Uduk,Food & Dining,expense,109751
2024-12-02,Pendapatan dari freelance,Salary,income,12137367
2025-01-03,Cashback ShopeePay,Other Income,income,172428
2025-05-05,Sumbangan ke yayasan yatim,Gift & Donation,expense,355713
2025-05-17,Beli mainan anak di Gramedia,Shopping,expense,1734385
2025-06-05,Beli kopi di Janji Jiwa,Food & Dining,expense,155044
2024-12-25,Komisi reseller,Business,income,6435921
2024-11-19,Potongan layanan e-wallet,Other Expense,expense,78643
2025-01-07,Penarikan tunai ATM,Other Expense,expense,328785
2024-12-10,Bayar tagihan listrik,Bills & Utilities,expense,348962
2025-01-19,Beli sepatu di Shopee,Shopping,expense,1540198
2025-02-05,Bayar air PAM,Bills & Utilities,expense,1946396
2025-07-04,Penjualan produk handmade,Business,income,4424292
2025-04-25,Cek kesehatan rutin,Health & Medical,expense,439969
2025-07-05,Cashback ShopeePay,Other Income,income,160845
2024-11-15,Ngopi bareng teman di KFC,Food & Dining,expense,196913
2025-05-14,Nonton konser K-pop,Entertainment,expense,373112
2025-05-22,Top up pulsa XL,Bills & Utilities,expense,1806428
2024-12-08,Bayar SPP anak,Education,expense,1620229
2025-05-14,Makan malam di Solaria,Food & Dining,expense,252770
2025-09-22,Langganan Disney+,Entertainment,expense,257026
2024-12-15,Refund tiket pesawat,Other Income,income,468348
2025-02-10,Biaya transfer antar bank,Other Expense,expense,410552
2025-05-06,Denda keterlambatan kartu kredit,Other Expense,expense,165386
2025-06-03,Gaji bulanan dari perusahaan,Salary,income,12065039
2025-07-06,Cek kesehatan rutin,Health & Medical,expense,664528
2025-06-23,Refund tiket pesawat,Other Income,income,289573
2025-05-30,Beli sepatu di Shopee,Shopping,expense,2490098
2025-01-11,Bayar iuran RT,Bills & Utilities,expense,692006
2025-09-03,Bayar iuran RT,Bills & Utilities,expense,1498342
2025-01-29,Potongan layanan e-wallet,Other Expense,expense,209137
2025-04-16,Beli buku pelajaran,Education,expense,136165
2025-10-12,Refund tiket pesawat,Other Income,income,164875
2025-09-14,Beli tiket bioskop XXI,Entertainment,expense,293660
2025-10-18,Penjualan barang bekas,Other Income,income,131234
2025-09-23,Langganan internet Biznet,Bills & Utilities,expense,938652
2025-07-05,Sarapan di Warung Nasi Uduk,Food & Dining,expense,298789
2025-07-16,Langganan Netflix Premium,Entertainment,expense,345619
2025-07-10,Bunga deposito bank,Other Income,income,421498
2025-03-06,Bonus proyek akhir tahun,Salary,income,17559036
2025-06-18,Potongan layanan e-wallet,Other Expense,expense,303796
2025-09-10,Pemasukan dari usaha laundry,Business,income,5323510
2024-12-14,Langganan Netflix Premium,Entertainment,expense,865547
2025-08-15,Cek kesehatan rutin,Health & Medical,expense,117026
2025-03-24,Pesan makanan lewat GrabFood,Food & Dining,expense,213581
2025-08-12,Pemasukan dari usaha laundry,Business,income,5452173
2025-05-12,Langganan Netflix Premium,Entertainment,expense,437801
2025-06-14,Beli sepatu di Shopee,Shopping,expense,2810328
2025-06-07,Beli laptop di Tokopedia,Shopping,expense,3313355
2025-01-21,Bayar iuran RT,Bills & Utilities,expense,854637
2025-03-11,Beli obat flu di apotek,Health & Medical,expense,1021321
2025-01-24,Zakat bulanan,Gift & Donation,expense,876821
2025-09-07,Komisi tambahan,Salary,income,19919409
2024-11-29,Bonus proyek akhir tahun,Salary,income,13919834
2025-07-16,Nonton konser K-pop,Entertainment,expense,36161
2025-07-01,Parkir di kantor,Transportation,expense,28912
2025-08-09,Bayar kursus Python online,Education,expense,4571229
2025-08-16,Cek kesehatan rutin,Health & Medical,expense,719170
2025-01-14,Langganan internet Biznet,Bills & Utilities,expense,385532
2025-05-13,Sumbangan ke yayasan yatim,Gift & Donation,expense,47897
2025-07-10,Makan malam di Solaria,Food & Dining,expense,140563
2025-01-11,Penjualan produk handmade,Business,income,7866557
2025-02-16,Pesan makanan lewat GrabFood,Food & Dining,expense,118816
2025-01-17,Bayar tol Cikampek,Transportation,expense,81513
2024-11-27,Konsultasi dokter gigi,Health & Medical,expense,1223777
2025-01-18,Beli game di Steam,Entertainment,expense,755911
2024-12-02,Bayar SPP anak,Education,expense,1052650
2024-12-31,Denda keterlambatan kartu kredit,Other Expense,expense,88746
2024-11-07,Pendapatan toko online,Business,income,9102233
2025-01-15,Penjualan barang bekas,Other Income,income,195550
2025-09-01,Denda keterlambatan kartu kredit,Other Expense,expense,328906
2025-04-14,Hadiah ulang tahun untuk teman,Gift & Donation,expense,820732
2025-09-07,Makan malam di Solaria,Food & Dining,expense,248661
2025-01-21,Langganan Disney+,Entertainment,expense,794740
2025-07-03,Naik Transjakarta,Transportation,expense,178532
2025-02-17,Pendapatan toko online,Business,income,6822273
2025-02-19,Cashback ShopeePay,Other Income,income,307139
2024-12-02,Komisi tambahan,Salary,income,19704157
2025-06-06,Beli laptop di Tokopedia,Shopping,expense,3179923
2025-08-19,Konsultasi dokter gigi,Health & Medical,expense,145631
2024-11-01,Zakat bulanan,Gift & Donation,expense,325241
2024-10-27,Beli laptop di Tokopedia,Shopping,expense,2446157
2025-03-19,Penjualan produk handmade,Business,income,2573745
2024-11-28,Pendapatan dari freelance,Salary,income,5676033
2025-08-28,Beli buku pelajaran,Education,expense,2761922
2024-11-08,Les privat matematika,Education,expense,3259615
2025-02-15,Tes darah di klinik,Health & Medical,expense,1199189
2025-03-18,Belanja baju di Zara,Shopping,expense,3401617
2025-02-15,Bayar iuran RT,Bills & Utilities,expense,465228
2024-11-18,Komisi reseller,Business,income,4059502
2025-01-13,Langganan Disney+,Entertainment,expense,904530
2025-06-01,Sumbangan ke yayasan yatim,Gift & Donation,expense,14528
2025-02-02,Sumbangan ke yayasan yatim,Gift & Donation,expense,148155
2024-11-22,Beli sepatu di Shopee,Shopping,expense,2185730
2025-05-30,Beli mainan anak di Gramedia,Shopping,expense,1298615
2025-07-06,Sarapan di Warung Nasi Uduk,Food & Dining,expense,227526
2025-01-14,Gaji bulanan dari perusahaan,Salary,income,14868826
2025-06-01,Langganan Disney+,Entertainment,expense,158504
2024-12-07,Komisi tambahan,Salary,income,11200439
2025-02-18,Pembayaran dari klien,Business,income,8630911
2025-06-02,Langganan Netflix Premium,Entertainment,expense,661084
2024-12-29,Beli tiket bioskop XXI,Entertainment,expense,518511
2025-01-18,Denda keterlambatan kartu kredit,Other Expense,expense,450874
2025-01-15,Refund tiket pesawat,Other Income,income,351559
2025-07-27,Pemasukan dari usaha laundry,Business,income,1796018
2025-07-17,Beli tiket bioskop XXI,Entertainment,expense,257790
2025-05-12,Penjualan barang bekas,Other Income,income,284922
2025-02-22,Pendapatan toko online,Business,income,4702648
2025-04-11,Bayar SPP anak,Education,expense,4258200
2025-09-08,Langganan Netflix Premium,Entertainment,expense,51038
2024-11-22,Pesan makanan lewat GrabFood,Food & Dining,expense,185250
2025-09-26,Langganan Netflix Premium,Entertainment,expense,327079
2025-09-30,Beli sepatu di Shopee,Shopping,expense,2188393
2025-07-20,Ngopi bareng teman di KFC,Food & Dining,expense,174839
2024-12-19,Langganan Disney+,Entertainment,expense,187033
2025-01-02,Langganan Skillshare,Education,expense,2659026
2025-01-31,Penjualan produk handmade,Business,income,8089909
2025-04-21,Sarapan di Warung Nasi Uduk,Food & Dining,expense,141425
2024-12-01,Beli mainan anak di Gramedia,Shopping,expense,3234226
2025-04-02,Makan malam di Solaria,Food & Dining,expense,216747
2025-01-08,Beli game di Steam,Entertainment,expense,837676
2024-11-05,Isi bensin Pertalite,Transportation,expense,56122
2025-04-15,Beli tiket bioskop XXI,Entertainment,expense,670883
2025-09-17,Cek kesehatan rutin,Health & Medical,expense,51557
2025-09-23,Bayar tagihan listrik,Bills & Utilities,expense,1014038
2025-07-03,Parkir di kantor,Transportation,expense,121083
2025-08-04,Komisi reseller,Business,income,4909445
2024-12-20,Les privat matematika,Education,expense,2392364
2024-11-23,Pembayaran dari klien,Business,income,1057516
2025-04-06,Langganan Disney+,Entertainment,expense,671080
2025-03-28,Parkir di kantor,Transportation,expense,172882
2025-02-07,Hadiah ulang tahun untuk teman,Gift & Donation,expense,473748
2025-07-16,Penjualan barang bekas,Other Income,income,18838
2024-11-30,Donasi ke gereja,Gift & Donation,expense,824447
2024-10-31,Bayar tagihan listrik,Bills & Utilities,expense,692022
2025-05-28,Pendapatan dari freelance,Salary,income,18321429
2025-02-19,Bayar SPP anak,Education,expense,4584425
2025-05-13,Parkir di kantor,Transportation,expense,213199
2025-08-20,Langganan Netflix Premium,Entertainment,expense,990228
2025-06-29,Beli vitamin C di Guardian,Health & Medical,expense,759864
2025-10-13,Sumbangan ke yayasan yatim,Gift & Donation,expense,30801
2024-12-03,Ngopi bareng teman di KFC,Food & Dining,expense,88000
2025-05-26,Bayar air PAM,Bills & Utilities,expense,1952188
2025-08-14,Pendapatan tambahan kecil,Other Income,income,19287
2025-04-04,Sarapan di Warung Nasi Uduk,Food & Dining,expense,134330
2024-10-28,Langganan Netflix Premium,Entertainment,expense,470589
2024-12-30,Beli obat flu di apotek,Health & Medical,expense,1767468
2025-01-20,Biaya transfer antar bank,Other Expense,expense,379970
2025-03-29,Bayar tagihan listrik,Bills & Utilities,expense,1865598
2025-05-07,Beli skincare di Watsons,Shopping,expense,857721
2025-07-18,Parkir di kantor,Transportation,expense,89662
2025-03-11,Beli obat flu di apotek,Health & Medical,expense,1575908
2025-08-27,Isi bensin Pertalite,Transportation,expense,227161
2025-06-21,Parkir di kantor,Transportation,expense,112539
2025-08-24,Beli sepatu di Shopee,Shopping,expense,4113008
2025-03-27,Beli game di Steam,Entertainment,expense,888705
2025-07-05,Tunjangan makan bulanan,Salary,income,9243953
2025-06-14,Bunga deposito bank,Other Income,income,158493
2025-04-08,Beli laptop di Tokopedia,Shopping,expense,4331495
2025-02-16,Beli mainan anak di Gramedia,Shopping,expense,3028468
2024-11-27,Beli bunga untuk ibu,Gift & Donation,expense,247811
2025-01-04,Komisi reseller,Business,income,505629
2025-08-15,Langganan Skillshare,Education,expense,790792
2024-12-06,Pesan makanan lewat GrabFood,Food & Dining,expense,243219
2024-12-03,Gaji bulanan dari perusahaan,Salary,income,5080423
2025-02-22,Langganan Netflix Premium,Entertainment,expense,333229
2025-01-05,Langganan Netflix Premium,Entertainment,expense,786923
2025-01-18,Konsultasi dokter gigi,Health & Medical,expense,1782688
2024-12-06,Pembayaran dari klien,Business,income,2371657
2025-02-10,Bayar kursus Python online,Education,expense,2597886
2025-07-07,Langganan internet Biznet,Bills & Utilities,expense,189800
2025-06-24,Tunjangan makan bulanan,Salary,income,14097635
2025-02-10,Donasi ke gereja,Gift & Donation,expense,375016
2025-10-16,Belanja baju di Zara,Shopping,expense,2777030
2025-10-01,Penarikan tunai ATM,Other Expense,expense,489163
2025-09-08,Beli tiket bioskop XXI,Entertainment,expense,568533
2025-06-22,Zakat bulanan,Gift & Donation,expense,181541
2025-08-03,Donasi ke gereja,Gift & Donation,expense,195224
2025-07-22,Penarikan tunai ATM,Other Expense,expense,170831
2025-08-28,Sarapan di Warung Nasi Uduk,Food & Dining,expense,200376
2025-06-02,Beli laptop di Tokopedia,Shopping,expense,434132
2025-04-03,Naik taksi Blue Bird,Transportation,expense,186583
2025-04-25,Penjualan produk handmade,Business,income,3402256
2025-10-11,Penjualan produk handmade,Business,income,2186440
2025-03-22,Penarikan tunai ATM,Other Expense,expense,27261
2025-05-26,Refund tiket pesawat,Other Income,income,114156
2024-11-11,Bunga deposito bank,Other Income,income,102032
2025-06-22,Cashback ShopeePay,Other Income,income,215000
2025-07-27,Bayar iuran RT,Bills & Utilities,expense,895797
2025-09-15,Bayar SPP anak,Education,expense,3265266
2025-02-03,Cek kesehatan rutin,Health & Medical,expense,1682247
2024-11-23,Beli buku pelajaran,Education,expense,2295580
2024-10-24,Cashback ShopeePay,Other Income,income,202794
2025-08-21,Langganan internet Biznet,Bills & Utilities,expense,596800
2025-08-27,Sumbangan ke yayasan yatim,Gift & Donation,expense,706378
2025-05-18,Konsultasi dokter gigi,Health & Medical,expense,1927258
2025-09-28,Beli laptop di Tokopedia,Shopping,expense,1137551
2025-07-29,Cek kesehatan rutin,Health & Medical,expense,1115038
2025-01-02,Penjualan produk handmade,Business,income,4643041
2025-07-31,Bayar iuran RT,Bills & Utilities,expense,369143
2025-06-01,Konsultasi dokter gigi,Health & Medical,expense,1607440
2025-04-16,Bayar tagihan listrik,Bills & Utilities,expense,161622
2025-06-23,Bonus proyek akhir tahun,Salary,income,15925822
2025-03-25,Bayar tol Cikampek,Transportation,expense,73352
2024-12-25,Pendapatan toko online,Business,income,8112405
2025-08-05,Parkir di kantor,Transportation,expense,43806
2025-07-23,Refund tiket pesawat,Other Income,income,31060
2025-02-09,Isi bensin Pertalite,Transportation,expense,199874
2025-06-09,Biaya admin bank,Other Expense,expense,116185
2025-06-13,Pendapatan tambahan kecil,Other Income,income,270370
2025-02-09,Cashback ShopeePay,Other Income,income,391787
2025-02-11,Ngopi bareng teman di KFC,Food & Dining,expense,101612
2025-01-24,Penjualan barang bekas,Other Income,income,475646
2025-06-13,Beli mainan anak di Gramedia,Shopping,expense,2470225
2024-11-07,Sumbangan ke yayasan yatim,Gift & Donation,expense,326237
2025-10-08,Sarapan di Warung Nasi Uduk,Food & Dining,expense,150635
2025-04-30,Zakat bulanan,Gift & Donation,expense,993787
2025-03-16,Bonus proyek akhir tahun,Salary,income,14628126
2025-10-10,Beli buku pelajaran,Education,expense,367656
2025-04-30,Bayar SPP anak,Education,expense,4598565
2025-10-03,Nonton konser K-pop,Entertainment,expense,296763
2025-03-01,Beli mainan anak di Gramedia,Shopping,expense,4064871
2025-10-19,Bayar tol Cikampek,Transportation,expense,118123
2025-08-28,Biaya transfer antar bank,Other Expense,expense,169027
2025-08-03,Gaji bulanan dari perusahaan,Salary,income,7884154
2025-02-17,Makan malam di Solaria,Food & Dining,expense,110647
2025-01-11,Cashback ShopeePay,Other Income,income,287121
2025-03-01,Langganan Disney+,Entertainment,expense,357501
2025-05-15,Langganan internet Biznet,Bills & Utilities,expense,438375
2025-01-14,Konsultasi dokter gigi,Health & Medical,expense,62682
2025-06-16,Beli mainan anak di Gramedia,Shopping,expense,3947751
2025-09-09,Beli vitamin C di Guardian,Health & Medical,expense,717978
2025-04-07,Denda keterlambatan kartu kredit,Other Expense,expense,307161
2024-11-15,Beli mainan anak di Gramedia,Shopping,expense,4272613
2025-09-29,Bayar iuran RT,Bills & Utilities,expense,1332001
2025-02-07,Beli skincare di Watsons,Shopping,expense,4245456
2025-04-09,Bayar tol Cikampek,Transportation,expense,212676
2025-04-01,Bayar iuran RT,Bills & Utilities,expense,788908
2024-12-06,Langganan Netflix Premium,Entertainment,expense,254714
2025-05-07,Bunga deposito bank,Other Income,income,92157
2025-02-16,Nonton konser K-pop,Entertainment,expense,377698
2024-11-21,Naik Transjakarta,Transportation,expense,199990
2025-09-09,Sarapan di Warung Nasi Uduk,Food & Dining,expense,266794
2025-03-05,Bayar air PAM,Bills & Utilities,expense,1017938
2024-10-25,Bayar SPP anak,Education,expense,1630872
2025-09-13,Pendapatan tambahan kecil,Other Income,income,234739
2025-04-03,Zakat bulanan,Gift & Donation,expense,300466
2025-09-05,Denda keterlambatan kartu kredit,Other Expense,expense,494536
2025-08-09,Beli skincare di Watsons,Shopping,expense,3190537
2025-06-26,Denda keterlambatan kartu kredit,Other Expense,expense,242776
2025-06-11,Bonus proyek akhir tahun,Salary,income,16519737
2025-08-23,Komisi reseller,Business,income,5532258
2025-09-01,Komisi reseller,Business,income,8284401
2024-11-08,Bayar tol Cikampek,Transportation,expense,246537
2025-01-28,Penjualan barang bekas,Other Income,income,73598
2024-10-27,Langganan Skillshare,Education,expense,3296029
2024-11-21,Langganan internet Biznet,Bills & Utilities,expense,1629041
2024-12-23,Beli tiket bioskop XXI,Entertainment,expense,998213
2025-07-25,Komisi reseller,Business,income,505538
2025-08-19,Naik Transjakarta,Transportation,expense,205227
2025-02-11,Beli tiket bioskop XXI,Entertainment,expense,828869
2025-04-17,Cek kesehatan rutin,Health & Medical,expense,1529039
2025-02-01,Sarapan di Warung Nasi Uduk,Food & Dining,expense,40435
2025-08-26,Beli tiket bioskop XXI,Entertainment,expense,236688
2024-10-25,Beli game di Steam,Entertainment,expense,212836
2025-06-22,Tunjangan makan bulanan,Salary,income,10913136
2025-04-12,Les privat matematika,Education,expense,2145881
2025-09-17,Cek kesehatan rutin,Health & Medical,expense,997622
2025-08-15,Naik Transjakarta,Transportation,expense,20778
2025-03-15,Nonton konser K-pop,Entertainment,expense,829114
2025-01-25,Les privat matematika,Education,expense,4049611
2025-09-17,Les privat matematika,Education,expense,4127357
2024-10-29,Penjualan barang bekas,Other Income,income,256167
2025-07-23,Makan malam di Solaria,Food & Dining,expense,67280
2024-11-05,Bayar kursus Python online,Education,expense,3662921
2025-10-10,Biaya transfer antar bank,Other Expense,expense,488699
2025-01-19,Biaya admin bank,Other Expense,expense,205386
2025-08-19,Les privat matematika,Education,expense,2944498
2025-04-03,Refund tiket pesawat,Other Income,income,491157
2025-05-09,Biaya transfer antar bank,Other Expense,expense,97722
2025-09-27,Hadiah ulang tahun untuk teman,Gift & Donation,expense,333712
2024-12-05,Pendapatan toko online,Business,income,8583259
2025-10-05,Isi bensin Pertalite,Transportation,expense,63005
2025-05-09,Parkir di kantor,Transportation,expense,235985
2025-02-24,Beli buku pelajaran,Education,expense,550563
2025-02-27,Beli mainan anak di Gramedia,Shopping,expense,4766125
2025-09-20,Bayar air PAM,Bills & Utilities,expense,115176
2025-01-27,Les privat matematika,Education,expense,3262874
2025-01-21,Beli vitamin C di Guardian,Health & Medical,expense,405402
2025-09-30,Penarikan tunai ATM,Other Expense,expense,22005
2025-01-09,Cashback ShopeePay,Other Income,income,27270
2025-06-19,Konsultasi dokter gigi,Health & Medical,expense,354017
2025-03-18,Beli kopi di Janji Jiwa,Food & Dining,expense,205565
2025-02-25,Donasi ke gereja,Gift & Donation,expense,340322
2025-02-26,Langganan Netflix Premium,Entertainment,expense,285633
